Chronologic VCS simulator copyright 1991-2012
Contains Synopsys proprietary information.
Compiler version F-2011.12-SP1; Runtime version F-2011.12-SP1;  Sep 28 22:53 2014
***********
Set Up 8253
***********
************
Test Timer 0
************
                1510: OUT - xx1
            32773000: OUT - xx0
            65541000: OUT - xx1
            98309000: OUT - xx0
           131077000: OUT - xx1
************
Test Timer 1
************
           131077510: OUT - x11
           131098000: OUT - x01
           131099000: OUT - x11
           131116000: OUT - x01
           131117000: OUT - x11
           131134000: OUT - x01
           131135000: OUT - x11
*****************
Test Timer 2 Gate
*****************
           133294000: OUT - 001
           133295000: OUT - 011
           133312000: OUT - 001
           133313000: OUT - 011
           133330000: OUT - 001
           133331000: OUT - 011
           133348000: OUT - 001
           133349000: OUT - 011
           133366000: OUT - 001
           133367000: OUT - 011
           133384000: OUT - 001
           133385000: OUT - 011
           133402000: OUT - 001
           133403000: OUT - 011
           133420000: OUT - 001
           133421000: OUT - 011
           133438000: OUT - 001
           133439000: OUT - 011
           133456000: OUT - 001
           133457000: OUT - 011
           133474000: OUT - 001
           133475000: OUT - 011
           133492000: OUT - 001
           133493000: OUT - 011
           133510000: OUT - 001
           133511000: OUT - 011
           133528000: OUT - 001
           133529000: OUT - 011
           133546000: OUT - 001
           133547000: OUT - 011
           133564000: OUT - 001
           133565000: OUT - 011
           133582000: OUT - 001
           133583000: OUT - 011
           133600000: OUT - 001
           133601000: OUT - 011
           133618000: OUT - 001
           133619000: OUT - 011
           133636000: OUT - 001
           133637000: OUT - 011
           133654000: OUT - 001
           133655000: OUT - 011
           133672000: OUT - 001
           133673000: OUT - 011
           133690000: OUT - 001
           133691000: OUT - 011
           133708000: OUT - 001
           133709000: OUT - 011
           133726000: OUT - 001
           133727000: OUT - 011
           133744000: OUT - 001
           133745000: OUT - 011
           133762000: OUT - 001
           133763000: OUT - 011
           133780000: OUT - 001
           133781000: OUT - 011
           133798000: OUT - 001
           133799000: OUT - 011
           133801000: OUT - 111
********************
Test Timer 2 No Gate
********************
           133816000: OUT - 101
           133817000: OUT - 111
           133834000: OUT - 101
           133835000: OUT - 111
           133852000: OUT - 101
           133853000: OUT - 111
           133870000: OUT - 101
           133871000: OUT - 111
           133888000: OUT - 101
           133889000: OUT - 111
           133906000: OUT - 101
           133907000: OUT - 111
           133924000: OUT - 101
           133925000: OUT - 111
           133942000: OUT - 101
           133943000: OUT - 111
           133960000: OUT - 101
           133961000: OUT - 111
           133978000: OUT - 101
           133979000: OUT - 111
           133996000: OUT - 101
           133997000: OUT - 111
           134014000: OUT - 101
           134015000: OUT - 111
           134032000: OUT - 101
           134033000: OUT - 111
           134050000: OUT - 101
           134051000: OUT - 111
           134068000: OUT - 101
           134069000: OUT - 111
           134086000: OUT - 101
           134087000: OUT - 111
           134104000: OUT - 101
           134105000: OUT - 111
           134122000: OUT - 101
           134123000: OUT - 111
           134140000: OUT - 101
           134141000: OUT - 111
           134158000: OUT - 101
           134159000: OUT - 111
           134176000: OUT - 101
           134177000: OUT - 111
           134194000: OUT - 101
           134195000: OUT - 111
           134212000: OUT - 101
           134213000: OUT - 111
           134230000: OUT - 101
           134231000: OUT - 111
           134248000: OUT - 101
           134249000: OUT - 111
           134266000: OUT - 101
           134267000: OUT - 111
           134284000: OUT - 101
           134285000: OUT - 111
           134302000: OUT - 101
           134303000: OUT - 111
           134320000: OUT - 101
           134321000: OUT - 111
           134338000: OUT - 101
           134339000: OUT - 111
           134356000: OUT - 101
           134357000: OUT - 111
           134374000: OUT - 101
           134375000: OUT - 111
           134392000: OUT - 101
           134393000: OUT - 111
           134410000: OUT - 101
           134411000: OUT - 111
           134428000: OUT - 101
           134429000: OUT - 111
           134446000: OUT - 101
           134447000: OUT - 111
           134464000: OUT - 101
           134465000: OUT - 111
           134482000: OUT - 101
           134483000: OUT - 111
           134500000: OUT - 101
           134501000: OUT - 111
           134518000: OUT - 101
           134519000: OUT - 111
           134536000: OUT - 101
           134537000: OUT - 111
           134554000: OUT - 101
           134555000: OUT - 111
           134572000: OUT - 101
           134573000: OUT - 111
           134590000: OUT - 101
           134591000: OUT - 111
           134608000: OUT - 101
           134609000: OUT - 111
           134626000: OUT - 101
           134627000: OUT - 111
           134644000: OUT - 101
           134645000: OUT - 111
           134662000: OUT - 101
           134663000: OUT - 111
           134680000: OUT - 101
           134681000: OUT - 111
           134698000: OUT - 101
           134699000: OUT - 111
           134716000: OUT - 101
           134717000: OUT - 111
           134734000: OUT - 101
           134735000: OUT - 111
           134752000: OUT - 101
           134753000: OUT - 111
           134770000: OUT - 101
           134771000: OUT - 111
           134788000: OUT - 101
           134789000: OUT - 111
           134806000: OUT - 101
           134807000: OUT - 111
           134824000: OUT - 101
           134825000: OUT - 111
           134842000: OUT - 101
           134843000: OUT - 111
           134860000: OUT - 101
           134861000: OUT - 111
           134878000: OUT - 101
           134879000: OUT - 111
           134896000: OUT - 101
           134897000: OUT - 111
           134914000: OUT - 101
           134915000: OUT - 111
           134932000: OUT - 101
           134933000: OUT - 111
           134950000: OUT - 101
           134951000: OUT - 111
           134968000: OUT - 101
           134969000: OUT - 111
           134986000: OUT - 101
           134987000: OUT - 111
           135004000: OUT - 101
           135005000: OUT - 111
           135022000: OUT - 101
           135023000: OUT - 111
           135040000: OUT - 101
           135041000: OUT - 111
           135058000: OUT - 101
           135059000: OUT - 111
           135076000: OUT - 101
           135077000: OUT - 111
           135094000: OUT - 101
           135095000: OUT - 111
           135112000: OUT - 101
           135113000: OUT - 111
           135130000: OUT - 101
           135131000: OUT - 111
           135148000: OUT - 101
           135149000: OUT - 111
           135166000: OUT - 101
           135167000: OUT - 111
           135184000: OUT - 101
           135185000: OUT - 111
           135202000: OUT - 101
           135203000: OUT - 111
           135220000: OUT - 101
           135221000: OUT - 111
           135238000: OUT - 101
           135239000: OUT - 111
           135256000: OUT - 101
           135257000: OUT - 111
           135274000: OUT - 101
           135275000: OUT - 111
           135292000: OUT - 101
           135293000: OUT - 111
           135310000: OUT - 101
           135311000: OUT - 111
           135328000: OUT - 101
           135329000: OUT - 111
           135346000: OUT - 101
           135347000: OUT - 111
           135364000: OUT - 101
           135365000: OUT - 111
           135382000: OUT - 101
           135383000: OUT - 111
           135400000: OUT - 101
           135401000: OUT - 111
           135418000: OUT - 101
           135419000: OUT - 111
           135436000: OUT - 101
           135437000: OUT - 111
           135454000: OUT - 101
           135455000: OUT - 111
           135472000: OUT - 101
           135473000: OUT - 111
           135490000: OUT - 101
           135491000: OUT - 111
           135508000: OUT - 101
           135509000: OUT - 111
           135526000: OUT - 101
           135527000: OUT - 111
           135544000: OUT - 101
           135545000: OUT - 111
           135562000: OUT - 101
           135563000: OUT - 111
           135580000: OUT - 101
           135581000: OUT - 111
           135598000: OUT - 101
           135599000: OUT - 111
           135616000: OUT - 101
           135617000: OUT - 111
           135634000: OUT - 101
           135635000: OUT - 111
           135652000: OUT - 101
           135653000: OUT - 111
           135670000: OUT - 101
           135671000: OUT - 111
           135688000: OUT - 101
           135689000: OUT - 111
           135706000: OUT - 101
           135707000: OUT - 111
           135724000: OUT - 101
           135725000: OUT - 111
           135742000: OUT - 101
           135743000: OUT - 111
           135760000: OUT - 101
           135761000: OUT - 111
           135778000: OUT - 101
           135779000: OUT - 111
           135796000: OUT - 101
           135797000: OUT - 111
           135814000: OUT - 101
           135815000: OUT - 111
           135832000: OUT - 101
           135833000: OUT - 111
           135850000: OUT - 101
           135851000: OUT - 111
           135868000: OUT - 101
           135869000: OUT - 111
           135886000: OUT - 101
           135887000: OUT - 111
           135904000: OUT - 101
           135905000: OUT - 111
           135922000: OUT - 101
           135923000: OUT - 111
           135940000: OUT - 101
           135941000: OUT - 111
           135958000: OUT - 101
           135959000: OUT - 111
           135976000: OUT - 101
           135977000: OUT - 111
           135994000: OUT - 101
           135995000: OUT - 111
           136012000: OUT - 101
           136013000: OUT - 111
